"subject"	"rt"	"r"	"g"	"b"	"stimuli"	"r_s"	"g_s"	"b_s"	"h_s"	"s_s"	"v_s"
1	51924	255	174	180	"blue"	0	0	255	4.18879020478639	1	1
1	16014	255	139	237	"green"	0	255	0	2.0943951023932	1	1
1	10413	160	74	255	"yellow"	255	255	0	1.0471975511966	1	1
1	14407	186	93	255	"yellow"	255	255	0	1.0471975511966	1	1
1	32325	82	168	255	"red"	255	0	0	0	1	1
1	33150	39	180	255	"magenta"	255	0	255	5.23598775598299	1	1
1	21518	61	194	255	"red"	255	0	0	0	1	1
1	29325	144	144	144	"cyan"	0	255	255	3.14159265358979	1	1
1	41637	0	161	144	"magenta"	255	0	255	5.23598775598299	1	1
1	15830	255	185	175	"blue"	0	0	255	4.18879020478639	1	1
1	16871	255	142	149	"cyan"	0	255	255	3.14159265358979	1	1
1	13238	255	183	162	"blue"	0	0	255	4.18879020478639	1	1
1	11396	142	255	158	"magenta"	255	0	255	5.23598775598299	1	1
1	19406	118	255	239	"red"	255	0	0	0	1	1
1	21837	193	85	255	"green"	0	255	0	2.0943951023932	1	1
1	18109	158	81	255	"yellow"	255	255	0	1.0471975511966	1	1
1	11496	165	39	255	"green"	0	255	0	2.0943951023932	1	1
1	38501	229	143	255	"cyan"	0	255	255	3.14159265358979	1	1
1	8406	255	159	164	"blue"	0	0	255	4.18879020478639	1	1
2	20168	255	94	211	"yellow"	255	255	0	1.0471975511966	1	1
2	12292	105	212	255	"red"	255	0	0	0	1	1
2	10921	190	109	255	"yellow"	255	255	0	1.0471975511966	1	1
2	9394	173	94	255	"yellow"	255	255	0	1.0471975511966	1	1
2	15946	179	61	255	"cyan"	0	255	255	3.14159265358979	1	1
2	8664	255	165	151	"blue"	0	0	255	4.18879020478639	1	1
2	9681	141	255	120	"magenta"	255	0	255	5.23598775598299	1	1
2	11641	131	193	255	"red"	255	0	0	0	1	1
2	9297	255	201	174	"blue"	0	0	255	4.18879020478639	1	1
2	5650	255	130	137	"cyan"	0	255	255	3.14159265358979	1	1
2	9326	255	155	244	"green"	0	255	0	2.0943951023932	1	1
2	7841	122	164	255	"red"	255	0	0	0	1	1
2	14521	108	255	110	"magenta"	255	0	255	5.23598775598299	1	1
2	11601	108	255	125	"magenta"	255	0	255	5.23598775598299	1	1
2	5057	181	135	255	"green"	0	255	0	2.0943951023932	1	1
2	9009	239	173	255	"green"	0	255	0	2.0943951023932	1	1
2	7321	255	121	157	"cyan"	0	255	255	3.14159265358979	1	1
2	10912	255	180	159	"blue"	0	0	255	4.18879020478639	1	1
2	6760	171	116	255	"yellow"	255	255	0	1.0471975511966	1	1
3	22297	222	116	255	"green"	0	255	0	2.0943951023932	1	1
3	11354	124	81	255	"yellow"	255	255	0	1.0471975511966	1	1
3	25049	92	0	41	"cyan"	0	255	255	3.14159265358979	1	1
3	14266	10	117	0	"magenta"	255	0	255	5.23598775598299	1	1
3	4202	255	155	112	"blue"	0	0	255	4.18879020478639	1	1
3	4194	207	46	255	"green"	0	255	0	2.0943951023932	1	1
3	3578	255	151	137	"blue"	0	0	255	4.18879020478639	1	1
3	8582	0	150	43	"magenta"	255	0	255	5.23598775598299	1	1
3	4882	0	143	39	"magenta"	255	0	255	5.23598775598299	1	1
3	12569	0	182	162	"red"	255	0	0	0	1	1
3	7965	0	149	211	"red"	255	0	0	0	1	1
3	9290	147	147	147	"cyan"	0	255	255	3.14159265358979	1	1
3	6914	0	191	252	"red"	255	0	0	0	1	1
3	10210	113	96	255	"yellow"	255	255	0	1.0471975511966	1	1
3	15001	137	137	137	"cyan"	0	255	255	3.14159265358979	1	1
3	7015	172	69	255	"green"	0	255	0	2.0943951023932	1	1
3	8738	147	112	255	"yellow"	255	255	0	1.0471975511966	1	1
3	4788	255	191	177	"blue"	0	0	255	4.18879020478639	1	1
3	17985	151	0	142	"green"	0	255	0	2.0943951023932	1	1
4	42133	148	40	255	"yellow"	255	255	0	1.0471975511966	1	1
4	12575	142	0	230	"green"	0	255	0	2.0943951023932	1	1
4	10822	132	0	252	"yellow"	255	255	0	1.0471975511966	1	1
4	11038	0	160	191	"red"	255	0	0	0	1	1
4	33077	0	194	101	"magenta"	255	0	255	5.23598775598299	1	1
4	17275	148	80	255	"yellow"	255	255	0	1.0471975511966	1	1
4	26750	255	160	159	"blue"	0	0	255	4.18879020478639	1	1
4	20662	172	27	255	"green"	0	255	0	2.0943951023932	1	1
4	15070	9	248	255	"red"	255	0	0	0	1	1
4	32766	177	104	255	"cyan"	0	255	255	3.14159265358979	1	1
4	18878	0	153	80	"magenta"	255	0	255	5.23598775598299	1	1
4	71844	122	72	0	"cyan"	0	255	255	3.14159265358979	1	1
4	17271	130	0	248	"green"	0	255	0	2.0943951023932	1	1
4	16886	255	179	185	"blue"	0	0	255	4.18879020478639	1	1
4	36574	255	137	96	"cyan"	0	255	255	3.14159265358979	1	1
4	5438	46	125	255	"red"	255	0	0	0	1	1
4	10982	0	142	118	"magenta"	255	0	255	5.23598775598299	1	1
4	6729	122	54	255	"yellow"	255	255	0	1.0471975511966	1	1
4	10831	255	203	167	"blue"	0	0	255	4.18879020478639	1	1
5	6858	255	125	133	"blue"	0	0	255	4.18879020478639	1	1
5	9425	255	101	163	"cyan"	0	255	255	3.14159265358979	1	1
5	3778	179	88	255	"yellow"	255	255	0	1.0471975511966	1	1
5	11818	208	94	255	"cyan"	0	255	255	3.14159265358979	1	1
5	6644	128	109	255	"red"	255	0	0	0	1	1
5	6434	103	82	255	"red"	255	0	0	0	1	1
5	11162	20	255	147	"magenta"	255	0	255	5.23598775598299	1	1
5	10113	255	213	166	"blue"	0	0	255	4.18879020478639	1	1
5	9057	0	220	206	"magenta"	255	0	255	5.23598775598299	1	1
5	9233	140	37	255	"yellow"	255	255	0	1.0471975511966	1	1
5	7227	0	199	164	"magenta"	255	0	255	5.23598775598299	1	1
5	4611	82	131	255	"red"	255	0	0	0	1	1
5	8848	255	183	151	"blue"	0	0	255	4.18879020478639	1	1
5	7563	165	97	255	"yellow"	255	255	0	1.0471975511966	1	1
5	9425	181	112	255	"green"	0	255	0	2.0943951023932	1	1
5	12560	191	57	255	"cyan"	0	255	255	3.14159265358979	1	1
5	8002	196	106	255	"green"	0	255	0	2.0943951023932	1	1
5	3026	192	98	255	"green"	0	255	0	2.0943951023932	1	1
5	3899	209	77	255	"green"	0	255	0	2.0943951023932	1	1
6	19705	220	69	0	"blue"	0	0	255	4.18879020478639	1	1
6	27200	255	120	124	"cyan"	0	255	255	3.14159265358979	1	1
6	21097	233	133	255	"green"	0	255	0	2.0943951023932	1	1
6	16745	135	199	255	"red"	255	0	0	0	1	1
